,truck_id,duration,fill_volume,n_units,orders,frow_warehouse,route_date,stops,total_distance
0,,,0.4535999999999999,63.0,DfN8XqUVeVHjTW3Pat76Tr > MUT2TaTikTsi8FzSCnimxv,Clermont-Ferrand,2021-01-03,Clermont-Ferrand > Villeurbanne,278.894
0,,,67.0976,182.0,TXzmjupomgsyBXwSFrbuf6 > CyjfmsS2vuvm7xhuJETidG > 2mxHAEESrkmC4ZsixTXeUj > 8HVw3UYTJFBr8xMRTEo7jM > HFKXurAaZDfpaqGXhSCdHB > 68SMwkbuEGo75Xcvupuzrp > nd6TnjejMR9429LGJHD53J,Avignon,2021-01-08,Avignon > Nîmes > Montpellier > Valence > Grenoble,476.225
1,,,58.2287,115.0,EsxsznGvNqPivXJhojRzrt > WkRAHWCi2m3hRhPw7HFFG8 > 5M7QNV2cDdyLn7VAomDcHX,Avignon,2021-01-08,Avignon > Montélimar,135.536
2,,,55.1605,255.0,6zWzKiW3XoeqHFXANQSAaK > 8YUvvptm8zUP8joxfp2W4k > X78Va6yEgQi49ouer9uhPY > hH2WoVa49bXqeLVmoQAYYC > n8RBgWvuBT2N9j5xvZRtYa > SJwVzC3bjEAqGjEoPNNPpy > 5ARfANdiGyaGPqYmgD2fz5 > FAdHNn63d9DEhjXyqdqnja > 3gh8jUjZqn3mAnrsoUhEt8,Avignon,2021-01-08,Avignon > Nice > Cannes > Hyères > La Seyne-sur-Mer > Marseille > Aix-en-Provence,474.705
0,,,36.936,45.0,mz6yJynd6EzWaSbKFHXwQs,Cergy,2021-01-08,Cergy > Dunkerque,447.526
1,,,26.6576,69.0,VmJ4HdbcHATypsNaZWxQvD > 4xLPgjoJJSsz4BGrZjjpBv,Cergy,2021-01-08,Cergy > Cergy,0.0
2,,,73.10309999999998,278.0,hgJg3pHoMGAEyvqNJUw5rN > aXUF97ewuPCeVR8MsZnv9S > SB7cB4FwbPUqsbU7wyNVjL > bmF7zcruYjYiCBqJa7UTvH > HUiFRWsB4hoJmtxyFh7XPi > HH3Qpfi4RmEDenEJXBK3Ss > 2fpHD68tpq9Ej48eoMatnr > fipLR9swA3jnW7sNbx3ALF > ctkAbd8xYyVcMS3RfXE4K6 > EWTt7Vm6wgUT9JDaCTxvEZ,Cergy,2021-01-08,Cergy > Nanterre > Boulogne-Billancourt > Antony > Courcouronnes > Tours > Versailles,484.566
3,,,54.1936,84.0,C2ijNHpgdQ5RrLoiRLRAxa > FrsYNjCXEeNCvLaUw6eWB3 > evkrrX9cp5WWcPJw3Nmm3b,Cergy,2021-01-08,Cergy > Boulogne-sur-Mer > Calais,433.724
4,,,69.5233,288.0,3gH5bALVJfUH5GXk8NwdVn > EcWaTXCQH9qtuiHfmKEZJq > aNXFg7say5CxmVJ38Lg9kj > eJAPsbgNRHrrnznCH3VtaT > cnrNhdSTJtWKwZfSG6fgi4 > ib7iacbtYyA6W2tB9iSkY4 > ZLKCAZKcqkfSCXkEjrgRoa > L7Uyk6nWAj4JqLBBa9WPQM > gSpcq2RkDXdjyAZwpL6yfz > CWxpXsBkLsceLKMS4om6Rn > 5b8AgC8YqGFzxwdL4wK68Q > 4JCyoZCMvYGypfebzVs5DY,Cergy,2021-01-08,Cergy > Le Havre > Caen > Cherbourg > Brest > Quimper > Saint-Nazaire > Nantes > Rennes > Le Mans,1237.655
5,,,68.25569999999999,389.0,7s4fAKaJM7ozTnkceiPUTY > UpQFUss6h9FdfYCdXuGfsQ > gRFh9Yd6rHeJmh9pbQUUPM > J5oHXGhwWkcEwBsUKU2wBo > n5fM59nKkVoNu3LNvwZ9ak > YWZigEQajCAM3duPBhiZSo > WT9cPjs2FiRo59qRZu3ciN > fWRMvnqrLA2fZxnLwe4rnR > f25qwqGhDuopZDVq8CNTKL > ABesfqcEhdqEqfrY6utXVZ > D46mEmtDz4G7UFnQwfupS8 > Yb32Pi5mXTfajyMcroXavd > HhhG6MVGfARnfRmPjB9jWE,Cergy,2021-01-08,Cergy > Courbevoic > Levallois-Perret > Paris > Pantin > Aubervilliers > Saint-Denis > Épinay-sur-Seine > Argenteuil,65.867
6,,,79.539,651.0,QVbaDAFZAABZEK6vXGZdBo > 4vivyYSEsA9zjxsar7jHDW > EwNFftVMQti495zcCrGKu3 > NUGcBbbJkquJ6sUTbvV9J9 > m4d7yEFCiyDLDszcHFdDgv > U8no9pKnTNhxyaJ3WZnQBc > 8EXFi4eyESHxKJZ4QuiCqr > Wys5vfYRHyR2C9omuoz4qP > T6pUVVryzCpn2opfUE7U49 > R4SUge4hgk3aXMzNFZ42Tk > ELzjU5pqtCRgfDsA3ZaTxQ > HBBsFvhhcu38AbXpVqdxx2 > nguAQTA3YgTEzvdaKjEXE9 > Mx3fQdkVPUZvEboFyVUDAC > GaY5uPjmUiEpCHgSPRTiUq > jhNx34j8fYFoJvxtsEbpd2 > 3V4PDfdWCiJJbFB7YYkcqa > 4yaJgYPiGmrFwfRB3HTvUE > 3Xgt2cxCvAhxEFqnWCZPza > UtEEdYhVumJeGLqWNUyJ8V > QQnQAqQQdr77ZRxQjRXiH3 > YjLtQSFidrDA4YQ7hEQY9k > 8LAxUWk4GDstzSWtMWfp8R > eJhxtrzgf7JRZ8JJD6xSW2,Cergy,2021-01-08,Cergy > Colombes > Carrières-sur-Seine > Clichy > Maisons-Alfort > Créteil > Saint-Maur-des-Fossés > Champigny-sur-Marne > Noisy-le-Grand > Meaux > Aulnay-sous-Bois > Le Blanc-Mesnil > Drancy > Sarcelles,142.221
0,,,51.333999999999996,80.0,GDhuTcBnr9xdRhFb2jLYcW > Pkc3rGf2hEKGX2gQMY6AEJ > fP3qQVrJaEmoKu352fASSb > 299k9wuGRxooUSc8oaDTKR,Montauban,2021-01-08,Montauban > Toulouse > Perpignan,393.899
1,,,59.03320000000001,212.0,NjaheDd66s6zAoEQvUxhgM > PFioepmqPEosnmExEa3eHp > PSWybUNhn4sajpG4x2Pd6B > 54LYvCKKtaVWdsDz7q3ZwA > 6NNSCUWN4i9v7iPbEAbnuG > Eg39pYRog97FYmpoQoVGmr > Kx5R2Vj7oyaMSrNKfgExBS,Montauban,2021-01-08,Montauban > Pau > Pessac > Mérignac > Bordeaux > Niort > Poitiers,866.421
0,,,30.2238,62.0,FQ2SCzAgFx5CHzVBXob3Vk > BxhtDTBXWzANcunBJdc9oL,Reims,2021-01-08,Reims > Reims,0.0
1,,,59.861,40.0,8MSiPvv7dSM5YzxsxEdTLd > dUvbfY7gcnCwpJEwJWfyyj,Reims,2021-01-08,Reims > Tourcoing > Roubaix,348.099
2,,,75.244,386.0,DHeccyUNuzPYmU3BqcuoGB > BdFWB3wmAgScqoPPqzAFP6 > MMr9uBRS7oN6TJzzQWCp6B > F9USToBgNzyugzR64pTR9Q > NJccUXRA9Qrexo6fn3qgeC > 9ZabRF4z6N89k66pVKLvnz > LiF5hZ3SSvAUE7oUUrSdYX > hwsEabidVA8jHiyrwYxR9n > kzJt7brvHqaEFEiuNmzANV > g8twUbVGhBfqF72iyqvSvD > aSMF3r5NBbwdgtsDZMyZJZ > BiXwfyX6JfNzSNbfhrVoJi > fQHX9QTpA7DoCHN9NCMvBs > AM4hJ5ozNuYs3ruXHab8GQ,Reims,2021-01-08,Reims > Nancy > Épinal > Colmar > Mulhouse > Belfort > Besançon > Dijon,754.715
0,,,10.4908,120.0,iBwLfjZveSJofELEdNwnYx > 3gPLnsRBP4ywfJACPGpX9n > ACYQWFTz4iMYnG373wwRFg,Clermont-Ferrand,2021-01-08,Clermont-Ferrand > Clermont-Ferrand > Lyon > Villeurbanne,279.002
0,,,58.2655,145.0,LeuLdw5snusANPNjUsCyWG > ScNXXnVzZ5hkftME3gh55b > RBj99ZaLDBdaPGtdMCAwjW > jaYuHFT2KDKrKfgpBY5dQg > SPnkHTSbr8WLGp8CUx8WEh,Avignon,2021-01-09,Avignon > Avignon > Montélimar,135.536
1,,,51.4996,490.0,iCqzx2JYdK5yAtGnAqTyTG > c6Q63rVrCnbmDqWdhrMAXM > BbN3VQgKUGAVNesPDmF5c9 > 2WTFz5iDBd6dGjdppY59ZF > 6zipjtginNcXPGUVAeDX3Y > kCLW2ZpAcQegQgPk4WBpGQ > 9nemNhsHJ8TTsiqFLDJDC6 > 2QMqgPrvn9vLTjGbq8D2hg > H8syM4SojnzEF2irSuLgP3 > eWWi8KdXosfJzA6NcgHQQ8 > BjpDcHtjFpza5o9MLBfaoa > 8RLg3YVLURYxkB7FDTdVbD > 3X5TfroUJkUEoYBKPWZPfi > QhcaWzv7FNoj3q6UbzVuEP > cHrHc3LFxARoDuS79YUWT9 > mRxtv4E5ZrxfpK2iX9hybp > hud9QD7QFo7nZMRZnfYWwr > EmeHq6ZSo5n7YGqYkBjuWN > CRFWEdSJhDSrRH5TFPpEN3 > Jx4dAqdT9mZ8Ej2y8nPbYz,Avignon,2021-01-09,Avignon > Béziers > Aix-en-Provence > Marseille > La Seyne-sur-Mer > Toulon > Hyères > Cannes > Antibes > Grenoble > Chambéry > Annecy > Vénissieux > Valence,1106.991
0,,,60.879999999999995,81.0,iNPvcgFs4zdCEGank7mjsE > iaHb7ChtohDk4VxADwpxUT > e7EsR8Be6JgpSVXCPcyVtm > jAK9dGtnMVYqAnZrQ7jdpf,Cergy,2021-01-09,Cergy > Courbevoic,41.416
1,,,67.5469,476.0,2hxdmdT6grK72fW3kzdmHv > F64rPdcXDX9BGqRRUtKEue > jXKEiwnYG5NtuzQnBXke9L > Z99mSoePfrJWhznXehyfxB > nULiRCxzqsg5pctBKAsgeZ > bKhKDdhMgxM2PnQgyVcMhc > JiNGHZWsy4oPFmykHRLPGe > ZjUu9uJtvuWXc6RKGvknSn > E2qvggojnVNMNs9JQjSDf9 > BrSe5QrKaGQZyfjANSBjYq > UEbsRnQrgMvXMVVnu3M9Ak > gmTvxZmmmwLf4jtc6iKYiU > V4DHukv8HxnLKQbDvwThsT > 8Sy8vtGDpJ8Fz4foeXbcsH > AXCBii3S98AyaSRuX4xGQC > WRCHa9gQHWpKvUDY9e8gWh > gwej55AbUJjFsvDzwJR8zy,Cergy,2021-01-09,Cergy > Versailles > Orléans > Tours > Saint-Nazaire > Quimper > Brest > Rennes > Caen > Le Havre,1241.25
2,,,49.0321,77.0,SK3ZHMGM4wbUeX7BHH4mxY > jDUsL4aUk8fRBEDFyGyHDV > Ze8wPTrtT8MthMwfXKYg3P > 4fvYZtxqehDGqToGMLvj5K,Cergy,2021-01-09,Cergy > Amiens > Calais,431.35
3,,,80.8602,387.0,K5S3VSMuCLwi8Ah9EHrQRa > oMMf3riPz2vcLekC7S4zqU > ZSaRqBmXUipggxBPreWd7b > 7h3UH7JgTFppW2Nj6DXVRP > Na9LNh3V3Tt9GCBCthmxtV > jSMiNH4vvd3JaUmDFmYA6B > BbqgaE4o3iNXXxNkf6WasR > SzWd7u67MZ47ScqXR8yaQo > VEaCKSJA9AktvsFKk2UGDt > 3VKxjC7MfFftR5BDwkh2Xg > AWuk9DTqCrZkCz8Mhv86kY > MdihgfNrmyPetNtSxjPmcj > 7YhURKbQeeX6qtQXNA3pYD > WhroKQmzMXX3nojNxgorKW > 7MkWCvDnAS4biwBAoAdeT4,Cergy,2021-01-09,Cergy > Drancy > Le Blanc-Mesnil > Aulnay-sous-Bois > Meaux > Saint-Maur-des-Fossés > Créteil > Maisons-Alfort > Neuilly-sur-Seine,139.702
4,,,70.299,116.0,b9GVMZoXUEmozrMKt4rFd2 > FvBzKL6tk5Xey3fZyCSLJm > 2rEHAgQ9sjBZb8ubTtjZs5 > dwShpocMhkKPS3aguxjxwN,Cergy,2021-01-09,Cergy > Sarcelles > Pantin > Aubervilliers,64.063
5,,,76.783,335.0,2sKaJcjF6i9zxDyna4kdTP > 72xZ4rVTU9fHEjtXp9Qojf > aLrFh5knronATVWgEWy6rf > MMXxBTmhRC5pp8vhzQP9ts > EBVG4G7R9qMaZ6R8tS3PE7 > D6GRR3QdRjWKKRzExzfLHN > 9YHDkHGeifECooKA9AK2Db > M9cXHfkgoFgiD7C4yrxWTd > TU4j3stpHRz8HayK3dUiNu > 6GrwbpyGHht8sExjj4tJCA > KkVsCPKeqxFViB36vrwSXS > NHkA9VHawYoGbniaDtKnuV > CoRaSmPNiPQyHJSivnkZpG,Cergy,2021-01-09,Cergy > Cergy > Levallois-Perret > Ivry-sur-Seine > Vitry-sur-Seine > Antony > Boulogne-Billancourt > Rueil-Malmaison,80.849
6,,,57.5356,77.0,6y6YhwVCcyK3GrnT53nLuq > PfXUGNf4dPrq83HvPF4Sqn > LxNCi4s33MMbjMdEiJrC4V,Cergy,2021-01-09,Cergy > Argenteuil > Carrières-sur-Seine,43.445
0,,,64.3421,86.0,ByoCfpEoquD57ZdjqGDRrs > 3EZDvpzw5DdxXyJ66Py75J > ijCCjvhqZRmBvjPvuM58sM,Montauban,2021-01-09,Montauban > Niort > Poitiers > Limoges,672.238
1,,,71.584,123.0,3JDmG6tuEmEYbkmsfjAENF > Bym9TB5maC8uy9isgcdzVF > TpJkgeRpfpdcJWUGpkauSk > KFkU2mUxA8driQAvLuDgGt,Montauban,2021-01-09,Montauban > Pau > Pessac > Mérignac,515.77
2,,,49.2749,154.0,kJxWrDw3g4DVBSQsCD6u2r > KX9bWtCqynhDnJwZJCXGyY > FqZznUrEsfRuZfgp447v2e > esiLoNh4umJHjzjD7tm7rU > jpJZZnE9heHzLwJRPfiFyh > jmjmJpQWAJn6bwWZULVuWY > ByL7qYxqWQommRY2AxtcvK,Montauban,2021-01-09,Montauban > Montauban > Toulouse,93.062
0,,,57.481300000000005,122.0,TwT74zKVetzCMHpkk8hcqW > eN8x9A5grXwxuQzhVrRtng > niEqAHBM7h8awo9dRBNiZF > YAuF6bADkkzzkTF3mFiBYW > 27HYPxYbtEcD5V6cgQ9hor > Fpvw9NfnexSxjzLvyPWKbQ > 9aLbLcgY9rnPrPw8fMBg83 > THFjpaZnqypVLcCoTYc5VV,Reims,2021-01-09,Reims > Roubaix > Metz > Nancy > Épinal,769.658
1,,,60.030199999999994,300.0,T24ckNCcMd5n7YyrRAFSFL > 78pThnYPNnAWherJpkkTEZ > 35FMdaNGfKcLN2zMo8YMnQ > DouM6YFqV8ysWAn4GNvU9K > ErxGPR3fCb5WWS7ufFp6jM > nmvnzienAqzxrAMESH2UEY > F8nJ8DkkBxBdTXP3ZfBttv > V8GBhWdewQJRHPqct83RJ8 > L3VF73g4gqDa9q2znrtfoQ > 69nSEySMNN8gzxSfMfhsQn,Reims,2021-01-09,Reims > Reims > Troyes > Dijon > Besançon > Belfort > Mulhouse > Colmar > Strasbourg,809.548
0,,,57.2075,148.0,UuJ9bTVSUQMTD7okPUGxvp > F2bdgquAArB9fxqX6SAqFm > Hzyc5rdNykSbuxzzeYB3kC > g4TCi5PMT7HMhztY9FeuAj > BRvRkASaymKXRtPz22G8ZU > FZAY2qWLEmvYNbEYQnhHQB,Clermont-Ferrand,2021-01-09,Clermont-Ferrand > Clermont-Ferrand > Saint-Étienne > Lyon > Villeurbanne > Bourges,556.565
0,,,30.424,428.0,JsoGkKxcgBasHfWyTLW9sT > cs2z37xJ9UVFMgxg7x7Tzv > JfXmCWxzNCVUs4RLx98zgo > FBTiXJoRESBhseZ26fzWxJ > JYSNjtxVYxmhF8h6E6QPnp > NXGiazLn47iQQ88sX6ueFS > 9QDiMSAtX64StFc8SHPMsC > 9bWoTfqXYcn2vT35VNWG6V > 7usYrqrPEzXzAPVxyRTR8a > ZZ9aRuMNBjwW69FvFa3wPW > kDW7xByduMmHdT9jYujeWq > 2a5wpWqD6H2nJkUCmvQS2F > XGvBAnjRCGGeXhjzkzE5fn,Avignon,2021-01-06,Avignon > Aix-en-Provence > La Seyne-sur-Mer > Toulon > Cannes > Antibes > Valence > Nîmes,642.216
0,,,60.3643,202.0,HCMjGpnvWkKJ7BFxxwW5fL > MGxcY3tiJcfxGq4BodMD4T > iYvgsKAmtbVfznKPVc9EbH > L8Wqj295NCn2P8fTvgVw8r > ZywYNdr4XrypNEvFNNWt3v > PeLq4xpCSvZa4eH6tnWpnT,Cergy,2021-01-06,Cergy > Cergy > Épinay-sur-Seine > Carrières-sur-Seine,46.823
1,,,77.031,209.0,iMrK7yDwqmRnvVBHYpBPoi > aRzNYYnpJAVbFysFBWBCLf > 6bRULCEbm4ZyHQRsmXtkjj > Yp2NiT8giXsiJqsRd9tB7B > hBUeDVWdecgndkhntCSkV7 > ek5WF5sKKPAhvhULZ8pepn > ZAkLhEs7X6F58bcZUQBtSK > LTurFxZ7WMqJP3Th8viMdy > jVDiLvy26mWuKAnvSDbE2o,Cergy,2021-01-06,Cergy > Clichy > Pantin > Montreuil > Champigny-sur-Marne > Meaux,134.557
2,,,79.8226,539.0,i3UUYqVurneXct9irZC2GF > 9Rks79F3sEDF7THxicmNv2 > VD7grnwRveKHomjvy9SzJi > gqCByKhfo3zterQZZ39tk7 > a8MaQLjME8u5sJtdZESS6z > RZZsob2gNDqqtgCESZ7rsL > ndBTBGgkntKrdkricYdNQV > HfA6ufzfJ29yDPhH26Ztrd > 3ErXWMi6xCf253FUsvSnxF > PKxUpdK2ZbFzunUG82fckN > AzSvtRY9iMaZCSsYxzrmgD > 5MamnNTCvTgGyDtEAESrV5 > 3QmcUjMtXm6VvPScLQSyTF > UUnavZBfSeNK3n5aKZovFS > LxZ9eTzQkyn7mkDvnuYsbV > GgqgB4MLeidEwVRSdPiUbw > bZatpsxgkLNsh7zHjHg2iV > hwzxF8hoE2iJ453xEayQew,Cergy,2021-01-06,Cergy > Sarcelles > Le Blanc-Mesnil > Drancy > Saint-Maur-des-Fossés > Créteil > Maisons-Alfort > Ivry-sur-Seine > Neuilly-sur-Seine > Courbevoic > Nanterre,94.052
3,,,80.3064,635.0,BATYDRLgAvd2SgjjmzhBXs > mQGk9H7wFaykrWgwPgtkF9 > i2hDAAVKFSSfeTesKgY2Rf > ZFaifUzKiLT9ojV3mb2q2A > CrEYKvUES92PhwKeUNW2wZ > JeMub6DKXA6JayGZgcTTDH > 8LRRd5LZdUPBtjBdymmibV > jttVmyWPNZrTioS8RSHeTb > nNt5BBn6q93iDqpsnvDieD > FFSySs2ZKF2y9QjvRS5LTn > kwyYwT3YwZ6vkz3ZyydtGN > 9mz2p3AapeHoGNCSPMMXSX > H7gY3xzr6zc8JeVC7knLd2 > iZq3sGoxswLjEs2XWgeYBF > FXeCbyJ8iFdt2kvF26yLh5 > b2adm8pcAsYWYthCQEAEJA > WCdRraJQYPaQNimSzRdfDM > CE9ZbnJ26qtArsa4qPgccj > SnWGZA7YXqwXBazjDaNAhE > d2tHicDqbaEngyXkwiRYuo > ENthN2tujvGm3XHvJMxjSj > NDmEKcX47MJp7XomJesrtj > m6Ch64QZ9R9p8ZFpryPfYb,Cergy,2021-01-06,Cergy > Beauvais > Amiens > Calais > Rouen > Le Havre > Caen > Rennes > Quimper > Lorient > Angers > Le Mans > Orléans > Courcouronnes > Antony > Issy-les-Moulineaux > Rueil-Malmaison,1474.293
0,,,57.9381,280.0,RBtjbY4iALLiVyzjHbpnxR > SgbZanKeQx4FHQTrcnUZLm > Pj2QBdyPf7nqkYFZLz92zf > Bgbc6LPiX4dnyNWAARJLEo > nK4K3guYyRgHpnyEodh2AA > FVLWdaqEqQKcmnMetrsXq3 > ExHGkoxApwNRe8maEYnDA7 > m3QiPT9iiNHFysshzrCytK > 2vqBGXNKxxYVMWCGaaJFJe > PTUAzrTTZtBoHdSQJhmD2t,Montauban,2021-01-06,Montauban > Montauban > Toulouse > Bordeaux > Pessac > Mérignac > La Rochelle > Niort > Poitiers > Limoges,854.698
0,,,57.087199999999996,467.0,52Joe2FTzvSoRExUUJPbaq > fXag7Ey5MiFvz6rzpVNUaQ > EGPVtSdDQxcjDZdPjqcSDe > 3FuFkLinkHyYLWbzdCZhq3 > AgxjiMBi4CnKCLLwFyuqno > ju4e2vVC5ELytEbmVGTxdy > KC3kp6WtV2WDYe5kunYWTo > YC9BAXdLgS2zPPSc2UP7E5 > V8Wh2M8qS8fmWbWkFmvkv8 > NV4jATRo5URRnPUb8A6FxC > nxXRSqPAA2D3q9JSijMQas > XtWrwyvb6JvYuJubGiYwfH > RBfHTNPduUe3aQn4vVLMb9 > fPcxkNbaNa4Cbk9U4J8DH4 > g7NGkGGgtZh7YiQWSGx2kU > i6irCR3CHxKKDYZkwAMpaE > YGkaYbjRM7jHoEU82SGJAt > muk2soDPbxyrJgC6Lz8dEJ,Reims,2021-01-06,Reims > Reims > Troyes > Dijon > Besançon > Belfort > Mulhouse > Colmar > Strasbourg > Épinal > Roubaix > Lille,1178.376
